[55.7779295, -2.3438852]
[55.9249576, -4.426652]
[0, 0]
[49.22315, 18.73941]
[53.50977845, -1.11377118405361]
[50.7183214, -2.4352953]
[52.0847984, 5.007246]
[0, 0]
[39.158168, -75.5243682]
[53.6960957, -2.4665093]
[53.6960957, -2.4665093]
[0, 0]
[54.9911719, -7.336547]
[51.80245915, 4.68987767122351]
[50.8561415, 4.312762]
[51.232113, -0.3247823]
[53.3680988, -6.2554727]
[53.48005, -2.14543]
[51.450918, -2.60720703138857]
[56.4810772, -2.9325523]
[55.8602297, -4.0549231]
[53.4786034, -2.1491964]
[-36.8846035, -60.3190123437578]
[52.4413539, -0.812513]
[17.06667, -61.83333]
[51.8885447, -0.5161863]
[37.97945, 23.71622]
[41.7230827, 44.789813125214]
[0, 0]
[55.8617362, -4.2190097]
[53.66031895, -6.78181217854836]
[0, 0]
[43.1020695, -77.408731]
[52.44889, 9.74]
[50.1106567, 14.3877051899659]
[51.4418786, -0.0843244]
[55.9384141, -4.56166403457207]
[56.185001, -3.9627499]
[0, 0]
[-37.6871699, 143.9012325]
[51.2251964, 6.7737511]
[56.4733953, -2.99861418376911]
[-41.1797561, 146.3613011]
[43.85639, 25.97083]
[36.8385363, 127.170622765129]
[0, 0]
[51.5631599, -0.00574602325234963]
[51.5793558, -4.0035702]
[51.638872, -0.4741756]
[44.45504795, 26.1023398546508]
[55.928091, -3.7840136]
[50.45067015, 30.5313350597607]
[55.88540065, 37.454181529672]
[51.05089, 13.73832]
[55.8889109, -4.3579353]
[45.81444, 15.97798]
[51.5514287, -1.777271]
[11.23923915, 124.99723123844]
[34.55065, -92.34099]
[50.7687082, -1.4886462]
[53.6111044, -2.4277818]
[38.7372264, 35.4233346117914]
[43.08117995, 25.6338548886792]
[1.1787184, 38.6025801]
[51.7812925, -3.2084383]
[53.99983, -125.0032]
[37.0859547, -88.6213002]
[52.29404415, 10.5302739738412]
[43.079857, 20.5368323]
[53.4655168, -2.3607381]
[53.4426555, -1.4688881]
[0, 0]
[51.6593515, -1.04332120992126]
[52.3581944, 4.6454551]
[-34.0431048, 151.1445433]
[0, 0]
[44.890114, -93.3493602]
[0, 0]
[55.93948195, -3.115704773701]
[51.6517122, -0.0832141]
[55.9483544, -3.1931187]
[50.260006, 10.968047898069]
[0, 0]
[38.70240095, -9.2078912142226]
[0, 0]
[44.08333, 12.03333]
[56.18887315, -2.99917741459459]
[50.06857865, 8.64551995209912]
[-34.0041441, 18.470663]
[53.99983, -125.0032]
[48.6477228, -124.4125941]
[43.1842839, -2.4732748]
[52.1448863, 14.6294413]
[55.7653249, -4.182994]
[0, 0]
[44.3127534, 23.8299233465235]
[57.73441105, 12.9347459]
[57.6517836, -3.3210530815658]
[53.2789347, -2.9022507]
[0, 0]
[28.6425234, -17.8964757]
